FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
James,Tomkins,DEF,CRY,4800000,1,75,0.675675676,1.41E-07,1.56E-05,0,23106,4,36,0,0,0,3,0,15.6,0,-2,0,75,2,0,0,0,5,0,6,0,0,0.2,22035,0,221,0,2,1974,0,0,0,359,
Gokhan,Tore,MID,WHU,5300000,0,10,2,3.77E-07,1.89E-06,0,10995,0,4,0,0,0,0,0,1.9,0,-2,0,10,2,0,0,0,0,0,1,0,1,0.1,9048,0,0,0,0,240,0,0,0,29,
,Tosin Adarabioyo,DEF,MCI,4500000,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,
Andros,Townsend,MID,CRY,5700000,0,116,3.2,5.61E-07,2.04E-05,0,331701,4,38,0,0,0,3,0,20.4,0,-8,0,116,8,0,0,0,16,0,7,0,7,2.2,182943,0,315,0,2,2520,0,0,0,492,
Bertrand,Traore,MID,CHE,5400000,0,0,0,0,0,0,2421,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,245,0,101,0,0,0,0,0,0,0,
Adama,Traore,MID,MID,4800000,0,52,0.468468468,9.76E-08,1.08E-05,0,26708,1,22,0,0,0,0,0,10.8,0,-2,0,52,2,0,0,0,2,0,6,0,1,0.1,31023,0,0,0,0,1543,0,0,0,264,
Gerhard,Tremmel,GLK,SWA,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kieran,Trippier,DEF,TOT,4700000,8,51,0.459459459,9.78E-08,1.09E-05,0,22786,1,3,0,0,0,0,0,10.9,0,-3,0,51,3,0,0,0,7,0,3,0,5,0.4,32714,0,110,0,3,568,0,0,0,202,
Axel,Tuanzebe,DEF,MUN,4000000,6,14,0.126126126,3.15E-08,3.50E-06,0,554,0,4,0,0,0,0,0,3.5,0,0,0,14,0,0,0,0,0,0,2,0,0,0.3,13275,0,0,0,0,303,0,0,0,69,
Josh,Tymon,DEF,HUL,4000000,0,9,0.081081081,2.03E-08,2.25E-06,0,17952,1,8,0,0,0,0,0,2.3,0,0,0,9,0,0,0,0,0,0,1,0,0,0.3,26752,0,0,0,0,323,0,0,0,57,
Leonardo,Ulloa,FWD,LEI,5500000,0,24,0.216216216,3.93E-08,4.36E-06,0,15338,0,5,0,0,0,1,0,4.4,0,-5,0,24,5,0,0,0,1,0,2,0,0,0.1,7923,0,226,0,0,447,0,0,0,56,
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0,0,0,0,2387,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,584,0,0,0,0,0,0,0,0,0,
Victor,Valdes,GLK,MID,4500000,0,102,3.6,8.00E-07,2.27E-05,0,334116,1,36,0,79,0,0,0,22.7,0,0,0,102,0,0,0,0,10,0,8,0,0,4.3,210768,0,0,0,3,2520,0,0,0,493,
Antonio,Valencia,DEF,MUN,5800000,0,120,4.3,7.41E-07,2.07E-05,0,1014182,5,20,0,0,0,1,0,20.7,0,3,0,120,-3,0,0,0,9,0,12,0,3,12.4,1104769,0,186,0,2,2483,0,0,0,612,
Enner,Valencia,FWD,EVE,5200000,2,54,2.3,4.42E-07,1.04E-05,0,190074,1,12,0,0,0,3,0,10.4,0,-3,0,54,3,0,0,0,3,0,2,0,3,1.7,126998,0,200,0,0,927,0,0,0,173,
Patrick,van Aanholt,DEF,CRY,4900000,1,98,3.1,6.33E-07,2.00E-05,0,364735,3,53,0,0,0,5,0,20,0,-1,0,98,1,0,0,0,9,0,5,0,1,3.6,284385,0,369,0,4,2498,0,0,0,534,
